ALQ84,Marco de andamio de albañilería  1.56 m x 2.00 m x x 1 1/2,90,3.15,10
ALQ85,Rodo para andamio de 1 1/2,12,1.3,10
ALQ86,Viga H de 6.00 m,84,6.3,10
ALQ87,Marco de andamio estructural rojo 1.82 m x 1.28 m x 2 diseño diferente,150,3.7,10
ALQ88,Marco de andamio de albañilería de 1.65 m x 1.23 m x 1 1/2,90,3.15,10
ALQ89,Marco de andamio de albañilería de 1.62 m x 1.26 m x 1 1/2,90,3.15,10
ALQ90,Marco de andamio de albañilería de 1.56 m x 1.97 m x x 1 1/2,90,3.15,10
ALQ91,Marco de andamio de albañilería de  1.79 m x 1.56 m x x 1 1/2,90,3.15,10
ALQ92,Viga H de 2.50 m,35,3.15,10
ALQ93,Wailer de 6 x 1.50 m,72,3.15,10
ALQ94,Cruceta de ángulo de 1 x 1.77 m,25,0.55,10
ALQ95,Cruceta de ángulo de 1 x 1.96 m,25,0.55,10
ALQ96,Cruceta de ángulo de 1 x 1.65 m,25,0.55,10
ALQ97,Cruceta de ángulo de 1 x 1.73 m,25,0.55,10
ALQ98,Cruceta de tubo de 1 x 3.50 m,25,0.55,10
ALQ99,Cruceta de tubo de 1 x 2.90 m,25,0.55,10
ALQ100,Cruceta de ángulo de 1 x 2.20 m,25,0.55,10
ALQ101,Cruceta de tubo de 1 x 3.30 m,25,0.55,10
ALQ102,Cruceta de ángulo de 1 x 2.90 m,25,0.55,10
ALQ103,Cruceta de tubo de 1 x 2.50 m,25,0.55,10
ALQ104,Base superior de 2 sin tubo,60,1.6,10
ALQ105,Base inferior de 2 con rodo soldado a la placa,125,2.3,10
ALQ106,Base inferior de 2 con placa desenmontable,125,2.3,10
ALQ107,Base inferior de 1 1/4,115,2.3,10
ALQ108,Placa de 0.05 m x 0.15 m x 3/8,4,0.45,10
ALQ109,Tubo riostra metálico de 1/2 x 6.00 m,5,0.75,10
ALQ110,Tubo riostra metálico de 1 de 3.50 m,4.5,1.3,10
ALQ111,Tubo riostra metálico de 1 de 5.50 m,7.5,1.8,10
ALQ112,Tubo riostra metálico de 1 de 2.50 m,4,1.05,10
ALQ113,Tubo riostra metálico de 1 1/2 de 6.00 m,8.5,1.05,10
ALQ114,Wailer de 6 x 4.80 m,230.4,8.4,10
ALQ115,Wailer de 6 x 8.00 m,384,14,10
ALQ116,Clamp 0.91 cm x 0.91 cm,75,3.15,10
ALQ117,Clamp 0.77 cm x 0.77 cm,75,3.15,10
ALQ118,Barreno,70,21,10
ALQ119,Cañuela de 2 x 1 x 6.00 m,15,1.05,10
ALQ120,Cañuela de 2 x 1 x 3.00 m,7.5,0.53,10
ALQ121,Cañuela de 2 x 1 x 2.10 m,6,0.32,10
ALQ122,Perno cónico de 1 1/2 1.50 m,125,7.35,10
ALQ123,Perno cónico de 1 1/2 1.80 m,125,7.35,10
ALQ124,Perno de varilla corrugada de 1 x 1.70 m,21.25,5.25,10
ALQ125,Viga H de 4.00 m W 6 x 9,55.08,4.2,10
ALQ126,Molde para jardinero,5.5,52.5,10
ALQ127,Molde para pozo,450,52.5,10
ALQ128,Viga H de 1.85 m con placa 3/8 x 0.20 m x 0.20 m con tubo soldado de 0.40 m x 2,38,4.2,10
ALQ129,Tuerca 1/4,0.2,0.1,10
ALQ130,Perno todo rosca de 1 x 0.50 m,6.25,2.65,10
ALQ131,Perno todo rosca de 1 x 0.30 m,3.75,1.05,10
ALQ132,Perno todo rosca de 1 x 0.80 m,10,2.65,10
ALQ133,Perno todo rosca de 1 x 0.75 m,9.38,2.65,10
ALQ134,Perno todo rosca de 1 x 0.20 m,2.5,1.05,10
ALQ135,Perno todo rosca de 1 x 0.15 m,1.88,1.05,10
ALQ136,Perno todo rosca de 1 x 0.10 m,1.25,0.53,10
ALQ137,Perno todo rosca de 3/4 x 0.50 m,3.5,1.05,10
ALQ138,Perno todo rosca de 1/2 x 1.00 m,4,0.45,10
ALQ139,Perno todo rosca de 3/8 x 1.00 m,7,1.05,10
ALQ140,Perno todo rosca de 1/4 x 1.00 m,3,0.35,10
ALQ141,Perno todo rosca de 1/4 x 0.75 m,3,0.35,10
ALQ142,Perno todo rosca de 3/8 x 0.50 m,4,0.45,10
ALQ143,Tuerca 3/8,0.15,0.1,10
